country,year,industry,transport,services,households,agriculture,total,year_norm,industry_lag1,industry_lag2,transport_lag1,transport_lag2,services_lag1,services_lag2,households_lag1,households_lag2,agriculture_lag1,agriculture_lag2,total_lag1,total_lag2,industry_yoy,transport_yoy,services_yoy,households_yoy,agriculture_yoy,total_yoy,industry_share,transport_share,services_share,households_share,agriculture_share,industry_rm3,transport_rm3,services_rm3,households_rm3,agriculture_rm3,total_rm3
Bulgaria,2004,3656.949,2421.986,714.995,2084.563,276.457,9154.949999999999,0.4117647058823529,3620.104,3370.852,2248.317,2068.872,762.994,747.412,2231.753,2116.749,283.578,279.945,9146.746,8583.83,0.010177884392271741,0.07724400073477167,-0.06290875157602815,-0.0659526390241214,-0.025111256867598963,0.0008969309960067395,0.3994504612258942,0.26455480368543793,0.07809927962468392,0.2276979120585039,0.030197543405480098,3549.3016666666663,2246.3916666666664,741.8003333333332,2144.355,279.9933333333333,8961.841999999999
Bulgaria,2005,3649.899,2717.28,840.941,2089.666,303.99,9601.776,0.4411764705882353,3656.949,3620.104,2421.986,2248.317,714.995,762.994,2084.563,2231.753,276.457,283.578,9154.949999999999,9146.746,-0.001927836565399188,0.12192225718893512,0.17614948356282212,0.0024479950953748553,0.09959234166615438,0.04880703881506743,0.3801274889145508,0.2829976454355944,0.08758181819696689,0.21763327950995734,0.03165976794293056,3642.317333333333,2462.527666666667,772.9766666666668,2135.327333333333,288.0083333333333,9301.157333333333
Bulgaria,2006,3680.952,2855.793,963.008,2158.268,295.112,9953.133,0.47058823529411764,3649.899,3656.949,2717.28,2421.986,840.941,714.995,2089.666,2084.563,303.99,276.457,9601.776,9154.949999999999,0.008507906657143183,0.05097487193075434,0.1451552487035357,0.03282916982905393,-0.02920490805618603,0.03659291781020513,0.3698284751143183,0.286924026836575,0.09675425818182075,0.2168430784557988,0.02965016141148722,3662.6000000000004,2665.0196666666666,839.648,2110.8323333333333,291.853,9569.953
Bulgaria,2007,3811.018,2767.061,918.493,2061.67,266.592,9824.834,0.5,3680.952,3649.899,2855.793,2717.28,963.008,840.941,2158.268,2089.666,295.112,303.99,9953.133,9601.776,0.035334880759107845,-0.03107087943698994,-0.04622495347909883,-0.04475718492791436,-0.09664127517688215,-0.012890313030077927,0.387896426545222,0.28163946586782024,0.09348687214460824,0.20984273118507651,0.027134504257272943,3713.9563333333335,2780.044666666667,907.4806666666667,2103.201333333333,288.56466666666665,9793.247666666668
Bulgaria,2008,3453.842,2884.27,982.449,2113.463,187.23,9621.253999999999,0.5294117647058824,3811.018,3680.952,2767.061,2855.793,918.493,963.008,2061.67,2158.268,266.592,295.112,9824.834,9953.133,-0.09372193991211797,0.04235866141006639,0.06963145064796339,0.025121867224143557,-0.29769085343896295,-0.020720960781627662,0.3589804405953736,0.2997810888268827,0.10211236497861921,0.21966606431968227,0.01946004127944237,3648.6040000000007,2835.708,954.65,2111.133666666667,249.64466666666667,9799.740333333333
Bulgaria,2009,2442.063,2761.501,970.058,2114.011,183.13,8470.762999999999,0.5588235294117647,3453.842,3811.018,2884.27,2767.061,982.449,918.493,2113.463,2061.67,187.23,266.592,9621.253999999999,9824.834,-0.2929430471920835,-0.04256501645130306,-0.01261235952197004,0.0002592900845672652,-0.021898200074774277,-0.11957807163182677,0.288293156118286,0.326003808629754,0.1145183733743938,0.24956559403208425,0.021619067845482162,3235.6409999999996,2804.2773333333334,957.0,2096.3813333333333,212.31733333333332,9305.616999999998
Bulgaria,2010,2549.961,2694.753,1026.678,2243.338,183.481,8698.211,0.5882352941176471,2442.063,3453.842,2761.501,2884.27,970.058,982.449,2114.011,2113.463,183.13,187.23,8470.762999999999,9621.253999999999,0.04418313532451856,-0.024170912847759296,0.058367643996544594,0.06117612443833087,0.0019166712171680977,0.026850946012773713,0.293159248493742,0.30980543010511014,0.11803323694952907,0.2579079767092337,0.02109410774238519,2815.288666666667,2780.1746666666672,993.0616666666668,2156.9373333333333,184.61366666666666,8930.076
Bulgaria,2011,2696.44,2759.922,1089.74,2374.281,203.369,9123.752,0.6176470588235294,2549.961,2442.063,2694.753,2761.501,1026.678,970.058,2243.338,2114.011,183.481,183.13,8698.211,8470.762999999999,0.05744362364757749,0.024183663586235804,0.06142334792408133,0.05836971512986433,0.10839269461143108,0.04892281872674742,0.2955406942231661,0.3024985773396734,0.11943989709496707,0.26023076909587195,0.02229006224632147,2562.8213333333333,2738.7253333333333,1028.8253333333334,2243.8766666666666,189.99333333333334,8764.241999999998
Bulgaria,2012,2566.576,2914.39,1069.698,2352.559,198.705,9101.928000000002,0.6470588235294118,2696.44,2549.961,2759.922,2694.753,1089.74,1026.678,2374.281,2243.338,203.369,183.481,9123.752,8698.211,-0.04816127931643199,0.055968248378033714,-0.018391542936847194,-0.009148874964673426,-0.022933682124610888,-0.002391998379613902,0.2819815757716387,0.3201947982888899,0.1175243311087497,0.2584682058570448,0.021831088973676784,2604.3256666666666,2789.688333333333,1062.0386666666666,2323.392666666667,195.18499999999997,8974.630333333333
Bulgaria,2013,2595.527,2620.341,1029.822,2241.036,192.934,8679.66,0.6764705882352942,2566.576,2696.44,2914.39,2759.922,1069.698,1089.74,2352.559,2374.281,198.705,203.369,9101.928000000002,9123.752,0.011280008852260659,-0.10089555618843049,-0.037277811120522086,-0.0474049747530243,-0.029043053773181393,-0.046393247672361526,0.2990355613007883,0.3018944290444556,0.11864773504952958,0.25819398455699877,0.022228290048227694,2619.514333333333,2764.8843333333334,1063.0866666666668,2322.6253333333334,198.336,8968.446666666667
Bulgaria,2014,2617.523,2916.487,992.002,2164.991,190.326,8881.329,0.7058823529411765,2595.527,2566.576,2620.341,2914.39,1029.822,1069.698,2241.036,2352.559,192.934,198.705,8679.66,9101.928000000002,0.008474579536255966,0.1130181148178806,-0.03672479321669175,-0.03393296671717905,-0.013517575958618022,0.023234665874008797,0.29472199487261425,0.3283840740501788,0.11169522038875038,0.24376880982564658,0.021429900862810058,2593.208666666667,2817.0726666666665,1030.5073333333335,2252.862,193.98833333333334,8887.639000000001
Bulgaria,2015,2719.641,3211.585,1078.658,2192.912,185.584,9388.380000000001,0.7352941176470589,2617.523,2595.527,2916.487,2620.341,992.002,1029.822,2164.991,2241.036,190.326,192.934,8881.329,8679.66,0.03901321975012251,0.10118268999656088,0.08735466259140612,0.012896589408454728,-0.02491514559229946,0.057091793356602416,0.28968160641132973,0.3420808488791463,0.11489287821754124,0.23357725187945094,0.01976741461253166,2644.2303333333334,2916.137666666667,1033.494,2199.6463333333336,189.61466666666664,8983.123
Bulgaria,2016,2655.459,3268.077,1157.041,2252.111,185.09,9517.778,0.7647058823529411,2719.641,2617.523,3211.585,2916.487,1078.658,992.002,2192.912,2164.991,185.584,190.326,9388.380000000001,8881.329,-0.02359943830821798,0.017590068455295427,0.07266714751107406,0.02699561131500028,-0.0026618674023622946,0.01378278254608345,0.2789998884193348,0.3433655418312972,0.12156629414974797,0.23662150976835136,0.0194467658312686,2664.2076666666667,3132.0496666666663,1075.9003333333333,2203.3379999999997,187.0,9262.495666666668
Bulgaria,2017,2757.516,3324.915,1167.156,2318.715,177.288,9745.59,0.7941176470588235,2655.459,2719.641,3268.077,3211.585,1157.041,1078.658,2252.111,2192.912,185.09,185.584,9517.778,9388.380000000001,0.038432903690096554,0.017391879077512495,0.008742127547770595,0.029574030764913495,-0.04215246636771297,0.023935418539915432,0.2829501343684682,0.3411712374520168,0.11976247718198692,0.23792453817572873,0.0181916128217994,2710.872,3268.192333333334,1134.285,2254.579333333333,182.654,9550.582666666667
Bulgaria,2018,2736.144,3374.736,1231.216,2229.672,185.275,9757.043,0.8235294117647058,2757.516,2655.459,3324.915,3268.077,1167.156,1157.041,2318.715,2252.111,177.288,185.09,9745.59,9517.778,-0.007750453669171931,0.014984142451761828,0.05488555086038205,-0.03840187345145918,0.04505099047876904,0.0011751982178604958,0.28042758446385857,0.34587692193218783,0.1261874114934207,0.22851923477225633,0.018988847338276566,2716.373,3322.5759999999996,1185.1376666666665,2266.8326666666667,182.55100000000002,9673.470333333333
